t,lead_I
978.7,-120728.60000000002
980.7,-120740.35000000002
982.7,-120759.50000000001
984.7,-120780.75
986.7,-120794.05
988.7,-120799.40000000001
990.7,-120804.90000000001
992.7,-120815.45000000001
994.7,-120830.55
996.7,-120844.95
998.7,-120851.2
1000.7,-120850.9
1002.7,-120856.9
1004.7,-120872.25000000001
1006.7,-120881.50000000001
1008.7,-120875.5
1010.6,-120868.2
1012.6,-120875.7
1014.6,-120893.79999999999
1016.6,-120906.70000000001
1018.6,-120908.05
1020.6,-120906.25
1022.6,-120913.4
1024.6,-120929.3
1026.6,-120940.1
1028.6,-120937.35000000002
1030.6,-120931.40000000001
1032.6,-120935.70000000001
1034.6,-120946.85000000002
1036.6,-120952.85
1038.6,-120951.8
1040.6,-120951.40000000001
1042.6,-120955.99999999999
1044.6,-120963.3
1046.6,-120969.09999999999
1048.6,-120971.50000000001
1050.6,-120970.20000000001
1052.6,-120964.35
1054.6,-120953.75000000001
1056.6,-120942.35
1058.6,-120933.20000000001
1060.6,-120921.80000000002
1062.6,-120904.35
1064.6,-120890.65
1066.6,-120893.45
1068.6,-120906.45000000001
1070.6,-120910.20000000001
1072.6,-120900.90000000001
1074.6,-120895.2
1076.6,-120903.7
1078.6,-120915.45
1080.6,-120914.75
1082.6,-120903.15000000001
1084.6,-120895.8
1086.6,-120900.9
1088.6,-120909.09999999999
1090.5,-120906.44999999998
1092.5,-120894.44999999998
1094.5,-120889.29999999999
1096.5,-120899.3
1098.5,-120914.0
1100.5,-120920.95
1102.5,-120921.35
1104.5,-120921.8
1106.5,-120921.95
1108.5,-120917.50000000001
1110.5,-120905.95000000003
1112.5,-120887.20000000001
1114.5,-120865.90000000001
1116.5,-120849.45000000001
1118.5,-120839.20000000001
1120.5,-120832.20000000001
1122.5,-120828.40000000001
1124.5,-120824.7
1126.5,-120814.95000000001
1128.5,-120808.05
1130.5,-120821.79999999999
1132.5,-120848.1
1134.5,-120858.95
1136.5,-120852.54999999999
1138.5,-120854.75
1140.5,-120873.5
1142.5,-120891.0
1144.5,-120896.95000000001
1146.5,-120897.6
1148.5,-120901.25
1150.5,-120916.15000000001
1152.5,-120946.4
1154.5,-120979.25
1156.5,-120998.3
1158.5,-121010.44999999998
1160.5,-121032.09999999999
1162.5,-121057.35
1164.5,-121071.40000000001
1166.5,-121077.50000000001
1168.5,-121083.3
1170.4,-121084.85
1172.4,-121084.09999999999
1174.4,-121091.09999999999
1176.4,-121100.54999999999
1178.4,-121098.7
1180.4,-121090.9
1182.4,-121092.3
1184.4,-121102.35
1186.4,-121111.15000000001
1188.4,-121117.65000000001
1190.4,-121126.90000000001
1192.4,-121139.45
1194.4,-121151.3
1196.4,-121158.90000000002
1198.4,-121160.90000000001
1200.4,-121156.95000000001
1202.4,-121146.7
1204.4,-121129.0
1206.4,-121097.30000000002
1208.4,-121039.25000000003
1210.4,-120949.30000000003
1212.4,-120837.15000000001
1214.4,-120714.35
1216.4,-120581.65000000001
1218.4,-120437.6
1220.4,-120290.8
1222.4,-120157.95000000001
1224.4,-120055.30000000002
1226.4,-119990.45000000001
1228.4,-119956.40000000001
1230.4,-119940.5
1232.4,-119940.75000000001
1234.4,-119960.7
1236.4,-119992.15000000001
1238.4,-120020.70000000001
1240.4,-120043.25000000001
1242.38,-120066.4
1244.35,-120097.65
1246.33,-120147.75
1248.3,-120225.4
1250.3,-120324.4
1252.3,-120432.9
1254.3,-120553.55000000002
1256.3,-120695.25000000001
1258.3,-120850.8
1260.3,-120999.00000000001
1262.3,-121123.95
1264.3,-121221.3
1266.3,-121292.75
1268.3,-121338.70000000001
1270.3,-121353.20000000003
1272.3,-121332.00000000001
1274.3,-121290.10000000002
1276.3,-121254.55000000002
1278.3,-121233.95000000003
1280.3,-121213.85
1282.3,-121187.05000000002
1284.3,-121164.55
1286.3,-121153.5
1288.3,-121147.65000000001
1290.3,-121142.29999999999
1292.3,-121139.44999999998
1294.3,-121138.95
1296.3,-121138.5
1298.3,-121139.9
1300.3,-121145.34999999999
1302.3,-121149.09999999999
1304.3,-121142.2
1306.3,-121127.05
1308.3,-121118.55
1310.3,-121123.05
1312.3,-121127.00000000001
1314.3,-121116.75000000003
1316.3,-121100.45000000001
1318.3,-121095.55
1320.3,-121105.00000000001
1322.28,-121116.25000000001
1324.25,-121117.85
1326.23,-121110.30000000002
1328.2,-121103.40000000002
1330.2,-121104.7
1332.2,-121109.65000000001
1334.2,-121107.55
1336.2,-121096.59999999999
1338.2,-121086.65000000001
1340.2,-121086.6
1342.2,-121093.95
1344.2,-121099.40000000001
1346.2,-121098.60000000002
1348.2,-121096.10000000002
1350.2,-121098.50000000001
1352.2,-121106.25000000001
1354.2,-121112.95000000001
1356.2,-121111.25
1358.2,-121101.55
1360.2,-121092.90000000001
1362.2,-121092.55
1364.2,-121096.40000000001
1366.2,-121094.3
1368.2,-121082.55000000002
1370.2,-121066.3
1372.2,-121052.6
1374.2,-121043.85
1376.2,-121035.85
1378.2,-121022.45000000001
1380.2,-121005.00000000001
1382.2,-120993.20000000001
1384.2,-120990.70000000001
1386.2,-120985.85
1388.2,-120967.55
1390.2,-120943.15000000002
1392.2,-120927.65000000001
1394.2,-120920.85
1396.2,-120909.5
1398.2,-120887.6
1400.2,-120863.3
1402.18,-120845.75
1404.15,-120833.45
